언론사명,oid
경향신문,032
국민일보,005
동아일보,020
문화일보,021
서울신문,081
세계일보,022
조선일보,023
중앙일보,025
한겨레,028
한국일보,469
뉴스1,421
뉴시스,003
연합뉴스,001
연합뉴스TV,422
채널A,449
한국경제TV,215
JTBC,437
KBS,056
MBC,214
MBN,057
SBS,055
SBS Biz,374
TV조선,448
YTN,052
매일경제,009
머니투데이,008
비즈워치,648
서울경제,011
아시아경제,277
이데일리,018
조선비즈,366
조세일보,123
파이낸셜뉴스,014
한국경제,015
헤럴드경제,016
노컷뉴스,079
더팩트,629
데일리안,119
동행미디어 시대,417
미디어오늘,006
아이뉴스24,031
오마이뉴스,047
프레시안,002
디지털데일리,138
디지털타임스,029
블로터,293
전자신문,030
지디넷코리아,092
더스쿠프,665
레이디경향,145
매경이코노미,024
시사IN,308
시사저널,586
신동아,262
월간 산,094
이코노미스트,243
주간경향,033
주간동아,037
주간조선,053
중앙SUNDAY,353
한겨레21,036
한경비즈니스,050
기자협회보,127
농민신문,662
뉴스타파,607
동아사이언스,584
여성신문,310
일다,007
코리아중앙데일리,640
코리아헤럴드,044
코메디닷컴,296
헬스조선,346
강원도민일보,654
강원일보,087
경기일보,666
국제신문,658
대구MBC,657
대전일보,656
매일신문,088
부산일보,082
전주MBC,659
CJB청주방송,655
JIBS,661
kbc광주방송,660
신화사 연합뉴스,348
AP연합뉴스,077
EPA연합뉴스,091
