id,title,cluster_label
1643,"[영상] 김용민 ""내란죄 끝까지 단죄"" 나경원 ""사면 금지법 위헌!""",4
1644,"국힘의 ""참담한 현실""... ""선거 폭망해야 정신 차릴 것"" 탄식도",3
1645,"나경원 ""삼권분립 붕괴 위기 속 일부 나홀로 세 과시…얄팍한 자기정치...",4
1646,"나경원 ""李대통령 기적의 논리....대출규제서 세입자 매수 가능?""",-1
1647,"나경원 “코로나19 백신 이물질 신고 1,285건·이상반응 신고 48만여 건...",0
1648,홍준표 “안될 선거에 안나가는 오세훈…서울시장 선거 해보나마나 아닌...,3
1649,"나경원 ""李, 증거·사건 조작은 납치·살인보다 나쁜 짓?…도둑이 제발...",4
1650,"""이대로면 선거 망할판""… 국힘 중진 잇단 쓴소리",3
1651,"홍준표 ""안 될 선거엔 나가지 않는게 오세훈 특징""",3
1652,"나경원 ""법원행정처장 사퇴, 민주당 정치폭력에 법원이 무릎 꿇은 것처...",4
1653,나경원 “이 대통령이야말로 ‘기적의 논리’…미친 전월세 가만 남을 ...,-1
1654,더불어민주당 의원들과 언쟁하는 나경원 의원,0
1655,"홍준표 ""공천 신청안한 오세훈, 질 것 두려워했기 때문…안 될 선거엔 ...",3
1656,"나경원 ""5000은 신기루"" 장동혁 ""절대 달성 못 해"" 코스피 6000 돌파에 소...",4
1657,"윤상현 ""당이 후보 발목 잡아…이대로는 백전백패가 현장 목소리""",3
1658,항의하는 나경원 의원,0
1659,[속보] 나경원 “대통령 논리야말로 시장 외면한 ‘기적의 논리’…현실...,-1
1660,"나경원 ""李정부, 부동산·증시로 여론 돌려 사법부 장악…당내 분열은 ...",4
1661,"나경원 ""법원행정처장 사퇴, 민주당 정치폭력에 대한 법원 항복""",4
1662,"나경원 ""곽상언 말대로 '법왜곡죄' 명백히 위헌…사실상 6심제""",4
1663,"박지원, 조희대 향해 ""건방져"" 나경원 ""베네수엘라 같아""…여야, 법사위...",4
1664,오세훈 공천 신청 안 했다…국힘 지도부 '플랜B' 검토(종합),3
1665,"나경원 ""대통령 논리가 기적의 논리…현실은 정반대""",-1
1666,"오세훈도 후보 등록 안해…국힘, 서울·경기 '구인난'",3
1667,통화하는 나경원 의원,0
1668,“백의종군하라”에 한동훈 정면반격…“尹 보수 망칠 때 당신들은 뭘 ...,3
1669,의사진행 발언하는 나경원 의원,0
1670,의원총회 향하는 나경원 의원,0
1671,"[미 이란 공습] 나경원 ""하메네이 사망, 국제 정세에 중대한 변곡점""",4
1672,의사진행 발언 신청하는 나경원 의원,0
